"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
demo_language,demographics,,radio,"What is Primary Language of patient?","1, English | 2, Spanish | 3, Chinese | 4, Arabic | 5, French | 6, Vietnamese | 7, German | 8, Indian/ Indian Subcontinent (including Hindi, Urdu, Telugu, Pundjabi, etc) | 9, Japanese | 10, Korean | 11, Russian | 12, Portuguese | 13, Sign language | 999, Other {demo_language_other}","Indian includes Hindi Tegulu and Tamil",,,,,,,,,,,
demo_language_other,demographics,,text,"Please specify",,,,,,,"[demo_language] = '999'",,,,,," @PLACEHOLDER=""Please Specify"""
demo_language_translator,demographics,,yesno,"Translator needed",,,,,,,,,,,,,
demo_insurance,demographics,,radio,Insurance,"1, Private | 2, Medicare | 3, Medicaid/ Managed Medicaid | 4, Veterans Administration/ Tricare | 5, Other Government | 6, Self-Pay/ Charity Care | 0, Unknown | 99, Other",,,,,,,,,,,,
insure_other,demographics,,text,"If Other insurance, please describe",,,,,,,"[demo_insurance] = '99'",,,,,,
demo_transport,demographics,,dropdown,Transportation,"0, No reliable transportation | 1, Personal car (pt is able to drive) | 2, Ride from family/ friend | 3, Public Transportation | 4, Insurance-facilitated transportation | 5, Facility transportation (eg inmate or group home) | 6, Unknown | 99, Other","How does patient typically attend medical appointments?",,,,,,,,,,,
transport_other,demographics,,text,"If other form of transportation, please describe",,,,,,,"[demo_transport] = '99'",,,,,,
demo_transport_none,demographics,,notes,"If no reliable transportation, what is plan for transportation?",,"What is plan to help get transportation for pt?",,,,,"[demo_transport] = '0'",,,,,,
demo_referral,demographics,,radio,"Initial Referral Source to UNC Neurology","1, UNC Epilepsy (different provider) | 2, UNC Neurology (different provider) | 3, UNC Non-Neurology | 4, External Neurology | 5, External Non-Neurology | 6, Other | 999, Unknown",,,,,,,,,,,,
demo_referral_other,demographics,,text,"For initial referral sources outside of UNC, please specify",,,,,,,"[demo_referral] = '4' or [demo_referral] = '5' or [demo_referral] = '6'",,,,,," @PLACEHOLDER=""Please specify"""
demo_ref_date,demographics,,text,"What was initial referral date to UNC Neurology?",,"Check media tab for referral form",date_mdy,,,y,"[demo_referral] = '4' or [demo_referral] = '5' or [demo_referral] = '3' or [demo_referral] = '6'",,,,,,
hand_dom,medical_history,,dropdown,Hand-dominance,"1, Left | 2, Right | 3, Ambidextrous | 99, Other","Which is patient's dominant hand?",,,,,,,,,,,
handdom_other,medical_history,,text,"If other for hand-dominance, please describe",,"Include unclear if not clear from chart",,,,,"[hand_dom] = '99'",,,,,,
sz_age,medical_history,,text,"What was patient's age at seizure onset?",,"Age in years",integer,0,,,,,,,,,
